P,0,0
P,1,0
P,2,0
P,3,0
P,4,0
P,5,0
P,6,0
P,7,0
P,8,0
P,9,0
P,10,0
P,11,0
P,12,0
P,13,0
P,14,0
P,15,0
P,16,0
P,17,0
P,18,0
P,19,0
P,20,0
P,21,0
P,22,0
P,23,0
P,0,1
P,1,1
N,2,1
N,3,1
C,4,1,2
2,4,1
N,5,1
N,6,1
R,7,1
N,8,1
N,9,1
N,10,1
N,11,1
R,12,1
B,13,1
N,14,1
N,15,1
C,16,1,3
3,16,1
N,17,1
N,18,1
N,19,1
N,20,1
R,21,1
P,22,1
P,23,1
N,0,2
V,1,2
H,2,2
K,3,2
C,4,2,2
2,4,2
B,5,2
N,6,2
R,7,2
N,8,2
N,9,2
N,10,2
N,11,2
R,12,2
N,13,2
N,14,2
N,15,2
C,16,2,3
3,16,2
N,17,2
N,18,2
N,19,2
N,20,2
R,21,2
V,22,2
N,23,2
N,0,3
P,1,3
P,2,3
P,3,3
C,4,3,2
2,4,3
P,5,3
P,6,3
R,7,3
P,8,3
P,9,3
C,10,3,2
2,10,3
P,11,3
R,12,3
N,13,3
N,14,3
S,15,3
C,16,3,3
3,16,3
N,17,3
N,18,3
N,19,3
N,20,3
R,21,3
V,22,3
N,23,3
N,0,4
V,1,4
N,2,4
N,3,4
N,4,4
R,5,4
P,6,4
P,7,4
P,8,4
P,9,4
C,10,4,2
2,10,4
P,11,4
R,12,4
P,13,4
P,14,4
P,15,4
C,16,4,3
3,16,4
P,17,4
P,18,4
P,19,4
P,20,4
R,21,4
V,22,4
N,23,4
N,0,5
V,1,5
N,2,5
N,3,5
N,4,5
R,5,5
N,6,5
R,7,5
N,8,5
N,9,5
C,10,5,2
2,10,5
P,11,5
P,12,5
P,13,5
R,14,5
N,15,5
N,16,5
N,17,5
N,18,5
N,19,5
B,20,5
R,21,5
V,22,5
N,23,5
N,0,6
V,1,6
N,2,6
P,3,6
P,4,6
R,5,6
B,6,6
R,7,6
N,8,6
N,9,6
N,10,6
N,11,6
N,12,6
N,13,6
R,14,6
N,15,6
N,16,6
P,17,6
P,18,6
P,19,6
P,20,6
R,21,6
V,22,6
N,23,6
N,0,7
V,1,7
N,2,7
N,3,7
P,4,7
P,5,7
P,6,7
R,7,7
S,8,7
N,9,7
N,10,7
N,11,7
N,12,7
N,13,7
R,14,7
N,15,7
N,16,7
P,17,7
P,18,7
P,19,7
P,20,7
R,21,7
V,22,7
N,23,7
N,0,8
V,1,8
N,2,8
N,3,8
N,4,8
N,5,8
P,6,8
P,7,8
P,8,8
P,9,8
P,10,8
P,11,8
P,12,8
P,13,8
R,14,8
P,15,8
P,16,8
P,17,8
N,18,8
N,19,8
N,20,8
R,21,8
V,22,8
N,23,8
N,0,9
V,1,9
B,2,9
N,3,9
N,4,9
N,5,9
N,6,9
N,7,9
N,8,9
N,9,9
N,10,9
N,11,9
N,12,9
N,13,9
R,14,9
N,15,9
N,16,9
N,17,9
N,18,9
N,19,9
N,20,9
R,21,9
V,22,9
N,23,9
N,0,10
V,1,10
N,2,10
N,3,10
N,4,10
N,5,10
N,6,10
N,7,10
N,8,10
N,9,10
N,10,10
N,11,10
N,12,10
N,13,10
R,14,10
N,15,10
N,16,10
N,17,10
B,18,10
N,19,10
N,20,10
R,21,10
V,22,10
N,23,10
M,0,11
M,1,11
M,2,11
M,3,11
M,4,11
M,5,11
M,6,11
M,7,11
M,8,11
M,9,11
M,10,11
M,11,11
M,12,11
M,13,11
M,14,11
M,15,11
M,16,11
M,17,11
M,18,11
M,19,11
M,20,11
M,21,11
M,22,11
M,23,11
